id_plasticBand,id_yrNest,dt_found,id_metalBand,dt_capt,cat_age,cat_sex,is_recap,PREFIX,BAND_NO,YEARBAND,YEARRET,AGE,SEX,NASAL,TARSAL,COMMENTS,COMMENTS
48V,2019TCD002,2019-05-20,200704182,NA,NA,NA,NA,2007,04182,2014,2014,AHY,F,,48G,,
62V,2019RJF256,2019-05-24,200706575,NA,NA,NA,NA,2007,06575,2014,2014,AHY,F,,62V,,
84K,2019DJR019,2019-06-05,NA,NA,NA,NA,NA,,,,,,,,,8KK? 8TK?,
8Z9,2019MLB008,2019-06-05,NA,NA,NA,NA,NA,,,,,,,,,8X9?,
82V,2021RJF625,2021-06-03,200704147,NA,NA,NA,NA,2007,04147,2013,2015,AHY,F,,82V,"Only had metal band, replaced coded tarsal",
42V,2021LRB138,2021-06-04,200706583,NA,NA,NA,NA,2007,06583,2014,2014,AHY,F,,42V,,
73+,2023JDD081,2023-06-03,200741842,NA,NA,NA,NA,2007,41842,2023,,AHY,F,,,captured on 2023-08-03 without any bands,
39V,2023THK005,2023-06-07,200706579,NA,NA,NA,NA,2007,06579,2014,2014,AHY,F,V76,39V,,
V83,2024AFM112,2024-06-15,,,,,,,,,,,,,,Actually V83,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
47G,2019BLD228,2019-05-20,200706583,NA,NA,NA,NA,2007,06583,2014,2014,AHY,F,,42V,,
47G,2021CLB122,2021-06-04,200706583,NA,NA,NA,NA,2007,06583,2014,2014,AHY,F,,42V,,
94K,2021LRB142,2021-06-05,360700417,NA,NA,NA,NA,3607,00417,2010,2010,AHY,F,,94K,,
TCK,2019MLB011,2019-06-06,360700438,NA,NA,NA,NA,3607,00438,2010,2010,AHY,F,K30,TCK,,
19K,2019DJR006,2019-06-01,360700443,NA,NA,NA,NA,3607,00443,2011,2011,AHY,F,Z28,19K,"FEMALE ADULT NOT CAPTURED, TARSAL BANDED",
98K,2021RJF637,2021-06-08,360700453,NA,NA,NA,NA,3607,00453,2011,2011,AHY,F,Z03,98K,,
98K,2019DJR018,2019-06-05,360700453,NA,NA,NA,NA,3607,00453,2011,2011,AHY,F,Z03,98K,,
98K,2023LLK208,2023-06-07,360700453,NA,NA,NA,NA,3607,00453,2011,2011,AHY,F,Z03,98K,,
51G,2023AFM006,2023-06-07,360700472,NA,NA,NA,NA,3607,00472,2012,2012,AHY,F,Z82,51G,,
51G,2021RJF626,2021-06-03,360700472,NA,NA,NA,NA,3607,00472,2012,2012,AHY,F,Z82,51G,,
A9G,2019AGB079,2019-05-28,360701057,NA,NA,NA,NA,3607,01057,2012,2012,AHY,F,V13,A9G,,
44-,2024AFM109,2024-06-11,00,2023-06-27,AHY,female,no,0,0,2023,,AHY,F,,,no metal band deployed at capture,
44-,2023LLK213,2023-06-11,00,2023-06-27,AHY,female,no,0,0,,,,,,,no metal band deployed at capture,
V83,2024AFM112,2024-06-15,198729024,NA,NA,NA,NA,1987,29024,2018,,AHY,F,,,code in band photo is V83 not V13; has a PTT,
G1G,2019MLB010,2019-06-05,200704132,NA,NA,NA,NA,2007,04132,2013,,AHY,F,,,"in ""ALL BANDS Revised Novermber 2015.xls",
V11,2023LLK211,2023-06-11,200730015,NA,NA,NA,NA,2007,30015,2015,,AHY,F,,,in KigigakBandnigData_2015.xlsx,
V11,2019TCD023,2019-06-01,200730015,NA,NA,NA,NA,2007,30015,2015,,AHY,F,,,in KigigakBandnigData_2015.xlsx,
V11,2021CLB125,2021-06-08,200730015,NA,NA,NA,NA,2007,30015,2015,,AHY,F,,,in KigigakBandnigData_2015.xlsx,
1ZK,2024NWR026,2024-06-02,360700420,NA,NA,NA,NA,3607,00420,2010,2010,AHY,F,K91,TZK,code confirmed from band photo,
P1G,2019JMT246,2019-05-29,360700446,NA,NA,NA,NA,3607,00446,2011,,AHY,F,,,"in ""ALL BANDS Revised Novermber 2015.xls",
-2K,2023NSL047,2023-06-05,NA,NA,NA,NA,NA,,,,,,,,,-2k is an impossible code and no band photo,
,2024EWH056,2024-06-19,NA,NA,NA,NA,NA,,,,,,,,,blurry band photol could also be 72+; also 77+ in 2024 was a female at an adjacent nest!,
8XA,2019JMT245,2019-05-28,134799058,NA,NA,NA,NA,1347,99058,2007,2007,AHY,F,2HH,8XA,"1 AHY F NOT CAUGHT, NO BANDS",
G6G,2023AFM009,2023-06-07,200704146,NA,NA,NA,NA,2007,04146,2013,2013,AHY,F,V89,G6G,,
G6G,2021RJF627,2021-06-03,200704146,NA,NA,NA,NA,2007,04146,2013,2013,AHY,F,V89,G6G,,
G6G,2022LRB204,2022-06-04,200704146,NA,NA,NA,NA,2007,04146,2013,2013,AHY,F,V89,G6G,,
82V,2023AFM008,2023-06-07,200704147,NA,NA,NA,NA,2007,04147,2013,2015,AHY,F,,82V,"Only had metal band, replaced coded tarsal",
